도서번호	등록번호	작가명(저자)	도서명	출판사
98	EM00098	돈의 속성  : 최상위 부자가 말하는 돈에 대한 모든 것	김승호	Snowfox(스노우폭스북스)
99	EM00099	애쓰지 않고 편안하게	김수현 글·그림	놀(다산북스)
100	EM00100	만남은 지겹고 이별은 지쳤다	색과 체	떠오름
101	EM00101	"시선으로부터,   : 정세랑 장편소설"	정세랑	문학동네
102	EM00102	"더 해빙 = ,The Having : 부와 행운을 끌어당기는 힘"	"이서윤,홍주연 공지음"	수오서재
103	EM00103	"통찰과 역설  = ,Insight & paradox  : 본질을 알면 모순이 보인다"	천공 지음	마음서재
104	EM00104	하버드 상위 1퍼센트의 비밀  : 신호를 차단하고 깊이 몰입하라	정주영 지음	한국경제신문  :한경BP
105	EM00105	뽕구새	"김경희, 정효정"	생각비행
106	EM00106	이게 정말 마음일까?	"요시타케 신스케 글·그림,양지연 옮김"	주니어김영사 :김영사
107	EM00107	(손오공의 한자 대탐험) 마법천자문	"유대영 글,홍거북 그림"	북이십일 아울북
108	EM00108	동시의 눈과 귀  : 신현득 서른일곱 번째 동시집	"신현득 시,음유진 그림"	시간의물레
109	EM00109	별을 줍는 아이들  : 이순애 동시집	이순애	한국문학세상
110	EM00110	싸움소 벼락이	"박찬아 글,한용욱 그림"	책과콩나무
111	EM00111	(코믹 메이플스토리)수학도둑 : 종합편	"송도수 글,서정 엔터테인먼트 그림"	서울문화사
112	EM00112	우시산국 이바구  : 순우리말 바람 동시집	"김이삭 동시,정다연 그림"	가문비어린이 :가문비
113	EM00113	말의 무게  : 당신의 말의 무게는 얼마인가?	박경남 지음	북씽크
114	EM00114	나를 힘들게 하는 또라이들의 세상에서 살아남는 법  : 알고 보면 쓸모 있는 분노 유발자의 심리학	"클라우디아 호흐브룬 지음,장혜경 옮김"	생각의날개
115	EM00115	5번 레인	"은소홀 글,노인경 그림"	문학동네
116	EM00116	(흔한남매) 안 흔한 일기	"흔한남매 원작,강효미 글,조병주 그림"	Mirae N 아이세움 :미래엔
117	EM00117	(흔한남매) 안 흔한 일기	"흔한남매 원작,강효미 글,조병주 그림"	Mirae N 아이세움
118	EM00118	용선생이 간다 : 세계 문화 여행	"사회평론 역사연구소 글,김지희,전성연 공그림,이우일 캐릭터"	사회평론
119	EM00119	(세계 문화 여행) 용선생이 간다	"사회평론 역사연구소 지음,뭉선생,윤효식 공그림,이우일 캐릭터"	사회평론
120	EM00120	용선생이 간다 : 세계 문화 여행	"사회평론 역사연구소 글,김지희,전성연 공그림,이우일 캐릭터"	사회평론
121	EM00121	아드님 진지 드세요	"강민경 글,이영림 그림"	좋은책어린이
122	EM00122	불량한 자전거 여행  : 김남중 장편동화	"김남중 지음,허태준 그림"	창비
123	EM00123	좋은 말씀  : 법정 스님 법문집	"법정, 맑고 향기롭게"	시공사
124	EM00124	사소해서 물어보지 못했지만 궁금했던 이야기  : 일상에서 발견하는 호기심 과학	사물궁이 잡학지식 지음	Arte(북이십일 아르테)
125	EM00125	(읽으면서 바로 써먹는) 어린이 속담	한날 글·그림	파란정원
126	EM00126	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
127	EM00127	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
128	EM00128	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
129	EM00129	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
130	EM00130	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
131	EM00131	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
132	EM00132	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
133	EM00133	이상한 과자 가게 전천당	"히로시마 레이코 글,쟈쟈 그림,김정화 옮김"	길벗스쿨
134	EM00134	고 녀석 맛있겠다	"미야니시 타츠야 글·그림,백승인 옮김"	
135	EM00135	"나는 티라노사우루스다 = ,I am Tyrannosaurus"	"미야니시 타츠야 글·그림,허경실 옮김"	
136	EM00136	넌 정말 멋져	"미야니시 타츠야 글·그림,허경실 옮김"	
137	EM00137	영원히 널 사랑할 거란다	"미야니시 타츠야 글·그림,허경실 옮김"	
138	EM00138	나에게도 사랑을 주세요	"미야니시 타츠야 글·그림,허경실 옮김"	
139	EM00139	나는 당신을 사랑하고 있어요	"미야니시 타츠야 글·그림,허경실 옮김"	
140	EM00140	나를 닮은 당신이 좋아요	"미야니시 타츠야 글·그림,김지현 옮김"	
141	EM00141	널 만나서 정말 다행이야	"미야니시 타츠야 글·그림,김지현 옮김"	
142	EM00142	모두 다 사랑해	"미야니시 타츠야 글·그림,송소영 옮김"	
143	EM00143	나는 당신을 믿어요	"미야니시 타츠야 글·그림,송소영 옮김"	
144	EM00144	"고마워, 사랑해"	"미야니시 타츠야 글·그림,송소영 옮김"	
145	EM00145	영원히 함께해요	"미야니시 타츠야 글·그림,송소영 옮김"	
146	EM00146	오월의 달리기	"김해원 지음,홍정선 그림"	푸른숲주니어
147	EM00148	"강치가 들려주는우리 땅,  독도 이야기"	"신현배 글,홍정혜 그림"	가문비어린이
148	EM00149	(우리말 지킴이 최종규와 어린이가 함께 읽는) 숲에서 살려낸 우리말	"최종규 글,강우근 그림"	철수와영희
149	EM00150	보고 싶은 텔레비전 궁금한 방송국	"소피 바흐만 ...등글,토니두란 그림,김미겸 옮김"	상수리나무
150	EM00151	나도 저작권이 있어요!  : 김기태 선생님의 교과서 속 저작권 이야기	"김기태 글,이홍기 그림"	맥스퍼블리싱 :상수리나무
151	EM00152	나비를 잡는 아버지	"현덕 글,원유성 그림"	효리원
152	EM00153	공자 아저씨네 빵가게	"김선희 글,강경수 그림,황희경 도움글"	주니어김영사 :김영사
153	EM00154	쌀뱅이를 아시나요	"김향이 글,김재홍 그림"	파랑새
154	EM00155	열 살에 꼭 알아야 할 한국사	"김영호 글,이용규 그림"	나무생각
155	EM00156	예쁘다고 말해 줘	"이상교 시,허구 그림"	문학동네
156	EM00157	식물 학교에 오세요!	"김성화,권수진 지음,이민하 그림"	북멘토
157	EM00158	아들과 함께 걷는 길	"이순원,그린이: LIMCHYA"	실천문학사
158	EM00159	"안녕,  나의 장갑 나무"	"자끄 골드스타인 글·그림,예빈 옮김"	주니어김영사 :김영사
159	EM00160	송아지가 뚫어 준 울타리 구멍	"손춘익 글,이은천 외 그림"	웅진주니어 :웅진씽크빅
160	EM00161	산에 가면 산나물 들에 가면 들나물  : 어린이를 위한 산나물 들나물 대백과	"오현식 글·사진,박은지 그림"	논장
161	EM00162	요렇게 해봐요 : 내 몸으로 ㄱ ㄴ ㄷ	김시영 글·그림	마루벌
162	EM00163	안전 대장 리시토	"엘 에마토크리티코 글,알베르토 바스케스 그림,박나경 옮김"	봄볕
163	EM00164	안녕! 페넬로페가 인사해요	"안느 구트망 글,게오르그 할렌스레벤 그림,신수경 옮김"	카멜레온북스
164	EM00165	빨강 연필  : 신수현 장편동화	"글쓴이: 신수현,그린이: 김성희"	비룡소
165	EM00166	버럭 아빠와 지구 반 바퀴	"김혜리 글,이량덕 그림"	김영사주니어
166	EM00167	바우덕이	"임정진 글,이윤희 그림"	푸른숲주니어
167	EM00168	너 내가 그럴 줄 알았어	"김용택 지음,이혜란 그림"	창비
168	EM00169	날 좀 내버려 둬	양인자 외 지음	푸른책들
169	EM00170	그러니까 역사가 필요해	"앙투안 사바 지음,핀조,송진욱 그림,박나리 옮김"	노란상상
170	EM00171	(가르쳐주세요!) 도형에 대해서	"신미정 지음,김희정 그림"	지브레인(Gbrain)
171	EM00172	발바닥 세계사 춤 이야기	"최미선 글,시은경 그림"	가교
172	EM00173	식물은 어떻게 겨울나기를 하나요?	"한영식 글,남성훈 그림"	다섯수레
173	EM00174	수학이 진짜 웃긴다고요	"김수경 글,조민정 그림"	한솔수북
174	EM00175	(세상에서 가장 엉뚱한) 땅따먹기  : 길이와 넓이	"펠리시아 로 글,앤 스콧 그림,황세림 옮김"	푸른숲주니어 :푸른숲
175	EM00176	방바닥 세계사 집 이야기	"이인옥 글,지문 그림"	가교출판
176	EM00177	밤을 지키는 사람들	"신순재 글, 한지선 그림"	창비
177	EM00178	"다 아는데 자꾸 말한다  : 주순영 선생님이 가르친 1,  2학년 아이들 일기와 시"	"초등학생 58명 글,주순영 엮음,김효은 그림"	보리
178	EM00179	내 안전습관이 어때서!	"김은정 글,손명자 그림"	파란정원
179	EM00180	나무는 즐거워 : 이기철 시	"이기철 시,남현주 그림"	비룡소
180	EM00181	동물들은 어떻게 겨울나기를 하나요?	"한영식 글,남성훈 그림"	다섯수레
181	EM00182	마음을 배달해 드립니다	"박현숙 글,지우 그림"	좋은책신사고 좋은책어린이
182	EM00183	바람 타고 달려라	"임정자 글,최정인 그림"	문학동네
183	EM00184	신기한 독	홍영우 글·그림	보리
184	EM00185	꿈을 나르는 책 아주머니	"헤더 헨슨 글,데이비드 스몰 그림,김경미 옮김"	비룡소
185	EM00186	긴긴 겨울잠에 폭 빠진 동물들	"미셸 프란체스코니 글,카퓌신 마질 그림,이정주 옮김"	개암나무
186	EM00187	마왕의 수수께끼를 푼 돼지	백명식 글·그림	내인생의책
187	EM00188	돼지책	"앤서니 브라운 글·그림,허은미 옮김"	웅진주니어
188	EM00189	내가 이상해?	"에린 프랭클 글,파울라 히피 그림,양승현 번역"	키움
189	EM00190	내가 어떻게!	"에린 프랭클 글,파울라 히피 그림,양승현 번역"	키움
190	EM00191	난 터프해!	"에린 프랭클 글,파울라 히피 그림,양승현 번역"	키움
191	EM00192	나무들이 재잘거리는 숲 이야기	"김남길 글,끌레몽 그림"	풀과바람
192	EM00193	내 꿈은 방울토마토 엄마 : 가슴 뛰는 꿈을 위한 작은 첫걸음	"허윤 글,윤희동 그림"	키위북스
193	EM00194	나는 커서 어떤 일을 할까?	"양지안 글,강경수 그림"	스콜라:위즈덤하우스
194	EM00195	내 친구들을 소개할게	"엘레나 아그넬로 글,아드리 르 루 그림,강이경 옮김"	머스트비
195	EM00196	멍멍 강아지로 변했어요	"유시나 글,임유정 그림"	쉼어린이 :쉼
196	EM00197	국기는 재미있다	"보코공방, 이승현"	스마트베어 :예림당
197	EM00198	교통안전 동화 : 늘보깨비가 버스를 탔어요	"오수연 글,이선희 그림"	마들
198	EM00199	건강을 책임지는 책  :  모두 건강하게 자라서 어른이 되자!	"채인선 글,윤진현 그림"	토토북
199	EM00200	(100 200 300) 물레를 돌려요	"채송화 글,육수련 그림"	북이십일 을파소
200	EM00201	가족을 주문해 드립니다!	"한영미 글,김다정 그림"	살림어린이
201	EM00202	말의 품격 : 말과 사람과 품격에 대한 생각들	이기주 지음	황소북스
202	EM00203	"마음아,  넌 누구니  : 나조차 몰랐던 나의 마음이 들리는 순간"	박상미 지음	한국경제신문 :한경BP
203	EM00204	나는 뻔뻔한 엄마가 되기로 했다  : 엄마는 편안해지고 아이는 행복해지는 놀라운 육아의 기술 34	김경림 지음	메이븐
204	EM00205	나를 함부로 판단할 수 없다  : 타인의 시선에서 자유로워지는 심리 수업	"테리 앱터 지음,최윤영 옮김"	다산초당 :다산북스
205	EM00206	행복해지는 연습을 해요  : 전승환 에세이	"전승환,사진: 전승환,Unsplash"	허밍버드 :백도씨
206	EM00207	마음의 온도는 몇 도일까요?	"정여민 시,허구 그림"	주니어김영사
207	EM00208	무례한 사람에게 웃으며 대처하는 법  : 인생 자체는 긍정적으로 개소리에는 단호하게	정문정 지음	가나출판사 :가나문화콘텐츠
208	EM00209	나는 오늘도 경제적 자유를 꿈꾼다	청울림 지음	RHK(알에이치코리아)
